num,pais,Population (2025),cambio_anual,cambio_neto,densidad_p_km2,superficie_km2,migrantes_neto,tasa_fertilidad,edad_mediana,porcentaje_poblacion_urbana,participacion_mundial
1,India,1463865525,0.0089,12929734.0,492.0,2973190.0,-495753.0,1.94,28.8,0.371,0.1778
2,China,1416096094,-0.0023,-3225184.0,151.0,9388211.0,-268126.0,1.02,40.1,0.675,0.172
3,United States,347275807,0.0054,1849236.0,38.0,9147420.0,1230663.0,1.62,38.5,0.828,0.042199999999999994
4,Indonesia,285721236,0.0079,2233305.0,158.0,1811570.0,-39509.0,2.1,30.4,0.596,0.0347
5,Pakistan,255219554,0.015700000000000002,3950390.0,331.0,770880.0,-1235336.0,3.5,20.6,0.344,0.031
6,Nigeria,237527782,0.0208,4848304.0,261.0,910770.0,-15258.0,4.3,18.1,0.5489999999999999,0.028900000000000002
7,Brazil,212812405,0.0038,813832.0,25.0,8358140.0,-217283.0,1.6,34.8,0.914,0.0259
8,Bangladesh,175686899,0.012199999999999999,2124535.0,1350.0,130170.0,-402100.0,2.11,26.0,0.426,0.0213
9,Russia,143997393,-0.005699999999999999,-823030.0,9.0,16376870.0,-251822.0,1.47,40.3,0.75,0.0175
10,Ethiopia,135472051,0.0258,3412284.0,135.0,1000000.0,24054.0,3.81,19.1,0.225,0.0165
11,Mexico,131946900,0.0083,1085893.0,68.0,1943950.0,-108037.0,1.87,29.6,0.879,0.016
12,Japan,123103479,-0.0052,-649562.0,338.0,364555.0,140579.0,1.23,49.8,0.9309999999999999,0.015
13,Egypt,118365995,0.015700000000000002,1827737.0,119.0,995450.0,-57305.0,2.71,24.5,0.409,0.0144
14,Philippines,116786962,0.008100000000000001,943292.0,392.0,298170.0,-149315.0,1.88,26.1,0.493,0.014199999999999999
15,DR Congo,112832473,0.0325,3556208.0,50.0,2267050.0,-27309.0,5.9,15.8,0.45,0.0137
16,Vietnam,101598527,0.006,610841.0,328.0,310070.0,-48171.0,1.88,33.4,0.414,0.0123
17,Iran,92417681,0.009300000000000001,849943.0,57.0,1628550.0,116786.0,1.67,34.0,0.733,0.011200000000000002
18,Turkey,87685426,0.0024,211621.0,114.0,769630.0,-258205.0,1.62,33.5,0.769,0.010700000000000001
19,Germany,84075075,-0.005600000000000001,-477167.0,241.0,348560.0,-334072.0,1.46,45.5,0.765,0.0102
20,Thailand,71619863,-0.0007000000000000001,-48148.0,140.0,510890.0,27509.0,1.2,40.6,0.535,0.0087
21,Tanzania,70545865,0.028999999999999998,1985708.0,80.0,885800.0,-12730.0,4.47,17.5,0.4,0.0086
22,United Kingdom,69551332,0.006,413140.0,287.0,241930.0,389911.0,1.54,40.1,0.845,0.0084
23,France,66650804,0.0015,102274.0,122.0,547557.0,91737.0,1.64,42.3,0.825,0.008100000000000001
24,South Africa,64747319,0.0116,740132.0,53.0,1213090.0,146370.0,2.19,28.7,0.6659999999999999,0.0079
25,Italy,59146260,-0.0033,-196607.0,201.0,294140.0,75448.0,1.21,48.2,0.72,0.0072
26,Kenya,57532493,0.0195,1099549.0,101.0,569140.0,-27330.0,3.12,20.0,0.319,0.006999999999999999
27,Myanmar,54850648,0.0064,350557.0,84.0,653290.0,-39661.0,2.08,30.1,0.341,0.0067
28,Colombia,53425635,0.0102,539272.0,48.0,1109500.0,129139.0,1.62,32.5,0.805,0.006500000000000001
29,South Korea,51667029,-0.001,-50561.0,531.0,97230.0,65731.0,0.75,45.6,0.8240000000000001,0.0063
30,Sudan,51662147,0.024,1213184.0,29.0,1765048.0,291469.0,4.19,18.5,0.353,0.0063
31,Uganda,51384894,0.0274,1369802.0,257.0,199810.0,-119059.0,4.06,16.9,0.3,0.0062
32,Spain,47889958,-0.0004,-20568.0,96.0,498800.0,96630.0,1.23,45.9,0.7929999999999999,0.0058
33,Algeria,47435312,0.013300000000000001,621004.0,20.0,2381740.0,-27531.0,2.67,28.6,0.7440000000000001,0.0058
34,Iraq,47020774,0.0213,978759.0,108.0,434320.0,-1064.0,3.17,20.8,0.7240000000000001,0.005699999999999999
35,Argentina,45851378,0.0034000000000000002,155219.0,17.0,2736690.0,2859.0,1.5,32.9,0.96,0.005600000000000001
36,Afghanistan,43844111,0.0281,1196619.0,67.0,652860.0,-74404.0,4.66,17.3,0.267,0.0053
37,Yemen,41773878,0.029300000000000003,1190714.0,79.0,527970.0,-16291.0,4.41,18.4,0.33,0.0051
38,Canada,40126723,0.0097,384293.0,4.0,9093510.0,326204.0,1.33,40.6,0.802,0.0049
39,Angola,39040039,0.0305,1154190.0,31.0,1246700.0,-3524.0,4.95,16.6,0.688,0.004699999999999999
40,Ukraine,38980376,0.0296,1120155.0,67.0,579320.0,1702358.0,1.0,41.8,0.768,0.004699999999999999
41,Morocco,38430770,0.0092,349597.0,86.0,446300.0,-56254.0,2.18,29.8,0.6729999999999999,0.004699999999999999
42,Poland,38140910,-0.0103,-398291.0,125.0,306230.0,-330820.0,1.31,42.5,0.5920000000000001,0.0046
43,Uzbekistan,37053428,0.019,691569.0,87.0,425400.0,-6987.0,3.45,27.0,0.48100000000000004,0.0045000000000000005
44,Malaysia,35977838,0.0118,420165.0,110.0,328550.0,166615.0,1.53,31.0,0.774,0.0044
45,Mozambique,35631653,0.028900000000000002,999887.0,45.0,786380.0,-65573.0,4.62,16.5,0.41600000000000004,0.0043
46,Ghana,35064272,0.018500000000000003,636858.0,154.0,227540.0,-17079.0,3.3,21.3,0.586,0.0043
47,Peru,34576665,0.0105,358817.0,27.0,1280000.0,11931.0,1.94,30.2,0.8059999999999999,0.0042
48,Saudi Arabia,34566328,0.0178,603571.0,16.0,2149690.0,119738.0,2.29,29.6,0.9209999999999999,0.0042
49,Madagascar,32740678,0.024300000000000002,775722.0,56.0,581795.0,-2227.0,3.85,19.2,0.40299999999999997,0.004
50,Côte d'Ivoire,32711547,0.024300000000000002,777317.0,103.0,318000.0,11305.0,4.17,18.3,0.49,0.004
51,Cameroon,29879337,0.0259,755593.0,63.0,472710.0,-15379.0,4.18,18.0,0.594,0.0036
52,Nepal,29618118,-0.0011,-32936.0,207.0,143350.0,-364699.0,1.94,25.3,0.245,0.0036
53,Venezuela,28516896,0.0039000000000000003,111353.0,32.0,882050.0,-100467.0,2.06,29.4,,0.0034999999999999996
54,Niger,27917831,0.032799999999999996,885419.0,22.0,1266700.0,-7704.0,5.79,15.6,0.182,0.0034000000000000002
55,Australia,26974026,0.0098,260821.0,4.0,7682300.0,137109.0,1.64,38.3,0.865,0.0033
56,North Korea,26571036,0.0027,72213.0,221.0,120410.0,-2787.0,1.77,36.5,0.633,0.0032
57,Syria,25620427,0.0384,947667.0,140.0,183630.0,421693.0,2.66,23.3,0.536,0.0031
58,Mali,25198821,0.0294,720226.0,21.0,1220190.0,-48019.0,5.42,15.7,0.444,0.0031
59,Burkina Faso,24074580,0.0223,525799.0,88.0,273600.0,-27130.0,4.0,17.7,0.337,0.0029
60,Sri Lanka,23229470,0.0054,125905.0,370.0,62710.0,-30724.0,1.94,33.3,0.18100000000000002,0.0028000000000000004
61,Taiwan,23112793,-0.0044,-101169.0,653.0,35410.0,-20947.0,0.86,44.8,0.84,0.0028000000000000004
62,Malawi,22216120,0.0259,560834.0,236.0,94280.0,-5628.0,3.53,18.1,0.198,0.0027
63,Zambia,21913874,0.0281,598918.0,29.0,743390.0,6562.0,3.97,17.9,0.46799999999999997,0.0027
64,Chad,21003705,0.0347,704582.0,17.0,1259200.0,-123104.0,5.94,15.8,0.22399999999999998,0.0026
65,Kazakhstan,20843754,0.012199999999999999,251183.0,8.0,2699700.0,-8834.0,2.95,29.7,0.551,0.0025
66,Chile,19859921,0.0048,95150.0,27.0,743532.0,51712.0,1.13,36.9,0.848,0.0024
67,Somalia,19654739,0.034,645588.0,31.0,627340.0,12077.0,5.91,15.6,0.466,0.0024
68,Senegal,18931966,0.0232,429982.0,98.0,192530.0,-12636.0,3.71,19.6,0.523,0.0023
69,Romania,18908650,-0.005600000000000001,-106438.0,82.0,230170.0,-29041.0,1.71,43.2,0.552,0.0023
70,Guatemala,18687881,0.015300000000000001,281522.0,174.0,107160.0,-7959.0,2.26,23.4,0.5660000000000001,0.0023
71,Netherlands,18346819,0.006500000000000001,118077.0,544.0,33720.0,104681.0,1.44,41.5,0.889,0.0022
72,Ecuador,18289896,0.0085,154418.0,74.0,248360.0,-17219.0,1.79,29.3,0.66,0.0022
73,Cambodia,17847982,0.011899999999999999,209181.0,101.0,176520.0,-31469.0,2.51,26.2,0.265,0.0022
74,Zimbabwe,16950795,0.019,316422.0,44.0,386850.0,-54555.0,3.62,18.1,0.379,0.0021
75,Guinea,15099727,0.023399999999999997,344942.0,61.0,245720.0,-16282.0,4.04,18.3,0.40299999999999997,0.0018
76,Benin,14814460,0.024300000000000002,351736.0,131.0,112760.0,-7847.0,4.42,18.0,0.478,0.0018
77,Rwanda,14569341,0.0219,312774.0,591.0,24670.0,6282.0,3.59,19.9,0.183,0.0018
78,Burundi,14390003,0.024399999999999998,342217.0,560.0,25680.0,-34727.0,4.67,16.4,0.149,0.0017000000000000001
79,Bolivia,12581843,0.013600000000000001,168528.0,12.0,1083300.0,-3179.0,2.5,25.2,0.706,0.0015
80,Tunisia,12348573,0.0058,71464.0,79.0,155360.0,-14523.0,1.8,32.9,0.7170000000000001,0.0015
81,South Sudan,12188788,0.020499999999999997,245380.0,20.0,610952.0,6145.0,3.71,18.7,0.27699999999999997,0.0015
82,Haiti,11906095,0.0113,133538.0,432.0,27560.0,-32052.0,2.59,24.1,0.617,0.0014000000000000002
83,Belgium,11758603,0.0017000000000000001,19840.0,388.0,30280.0,31989.0,1.39,41.9,0.988,0.0014000000000000002
84,Jordan,11520684,-0.0028000000000000004,-32192.0,130.0,88780.0,-303267.0,2.57,24.7,0.851,0.0014000000000000002
85,Dominican Republic,11520487,0.008100000000000001,92930.0,238.0,48320.0,-35306.0,2.19,28.3,0.8640000000000001,0.0014000000000000002
86,United Arab Emirates,11346000,0.028900000000000002,318871.0,136.0,83600.0,158634.0,1.21,31.6,0.8109999999999999,0.0014000000000000002
87,Honduras,11005850,0.0166,180147.0,98.0,111890.0,-4778.0,2.45,24.2,0.583,0.0013
88,Cuba,10937203,-0.0039000000000000003,-42580.0,103.0,106440.0,-22244.0,1.45,42.2,0.8190000000000001,0.0013
89,Tajikistan,10786734,0.018500000000000003,195807.0,77.0,139960.0,-21606.0,2.99,22.2,0.27699999999999997,0.0013
90,Papua New Guinea,10762817,0.0176,186315.0,24.0,452860.0,-284.0,3.03,22.8,0.126,0.0013
91,Sweden,10656633,0.004699999999999999,49634.0,26.0,410340.0,47079.0,1.44,40.3,0.8740000000000001,0.0013
92,Czech Republic (Czechia),10609239,-0.0118,-126620.0,137.0,77240.0,-112188.0,1.47,43.8,0.75,0.0013
93,Portugal,10411834,-0.0013,-13458.0,114.0,91590.0,16472.0,1.52,46.9,0.665,0.0013
94,Azerbaijan,10397713,0.0059,61136.0,126.0,82658.0,8731.0,1.67,33.6,0.5870000000000001,0.0013
95,Greece,9938844,-0.0108,-108973.0,77.0,128900.0,16636.0,1.34,46.8,0.895,0.0012
96,Togo,9721608,0.0217,206372.0,179.0,54390.0,-15010.0,4.07,19.1,0.442,0.0012
97,Hungary,9632287,-0.0045000000000000005,-43848.0,106.0,90530.0,-16331.0,1.5,43.9,0.72,0.0012
98,Israel,9517181,0.0139,130160.0,440.0,21640.0,11466.0,2.75,29.2,0.914,0.0012
99,Austria,9113574,-0.0008,-7239.0,111.0,82409.0,11254.0,1.33,43.6,0.586,0.0011
100,Belarus,8997603,-0.006500000000000001,-59093.0,44.0,202910.0,-3020.0,1.23,41.3,0.8440000000000001,0.0011
101,Switzerland,8967407,0.0051,45426.0,227.0,39516.0,37253.0,1.44,42.9,0.7440000000000001,0.0011
102,Sierra Leone,8819794,0.0206,177772.0,122.0,72180.0,-11309.0,3.61,19.7,0.455,0.0011
103,Laos,7873046,0.013300000000000001,103227.0,34.0,230800.0,-10645.0,2.36,24.9,0.38299999999999995,0.00096
104,Turkmenistan,7618847,0.0166,124349.0,16.0,469930.0,13268.0,2.63,26.9,0.465,0.0009299999999999999
105,Libya,7458555,0.0105,77532.0,4.0,1759540.0,-172.0,2.25,27.7,0.775,0.00091
106,Hong Kong,7396076,-0.0025,-18833.0,7044.0,1050.0,17863.0,0.73,47.4,,0.0009
107,Kyrgyzstan,7295034,0.0152,109025.0,38.0,191800.0,1815.0,2.75,25.4,0.353,0.00089
108,Paraguay,7013078,0.0121,83925.0,18.0,397300.0,-12423.0,2.4,27.0,0.68,0.0008500000000000001
109,Nicaragua,7007502,0.0132,91362.0,58.0,120340.0,-8371.0,2.18,26.0,0.581,0.0008500000000000001
110,Bulgaria,6714560,-0.0064,-43129.0,62.0,108560.0,-2961.0,1.74,44.8,0.7709999999999999,0.00082
111,Serbia,6689039,-0.006999999999999999,-47177.0,76.0,87460.0,-13086.0,1.5,44.4,0.736,0.0008100000000000001
112,Congo,6484437,0.0239,151476.0,19.0,341500.0,-2999.0,4.05,18.6,0.698,0.00079
113,El Salvador,6365503,0.0043,27310.0,307.0,20720.0,-23934.0,1.75,27.9,0.799,0.00077
114,Denmark,6002507,0.0042,25095.0,141.0,42430.0,22103.0,1.52,41.3,0.8740000000000001,0.00073
115,Singapore,5870750,0.0066,38363.0,8387.0,700.0,16892.0,0.96,36.2,,0.0007099999999999999
116,Lebanon,5849421,0.0075,43459.0,572.0,10230.0,-10230.0,2.21,28.8,0.86,0.0007099999999999999
117,Liberia,5731206,0.021099999999999997,118389.0,60.0,96320.0,-9870.0,3.79,18.8,0.55,0.0007000000000000001
118,Finland,5623329,0.0011,6019.0,19.0,303890.0,18246.0,1.3,43.2,0.867,0.00068
119,Norway,5623071,0.0083,46411.0,15.0,365268.0,29798.0,1.42,39.8,0.8590000000000001,0.00068
120,State of Palestine,5589623,0.0171,94180.0,929.0,6020.0,-23156.0,3.19,20.1,0.8420000000000001,0.00068
121,Central African Republic,5513282,0.034300000000000004,182592.0,9.0,622980.0,-14693.0,5.81,14.5,0.445,0.00067
122,Oman,5494691,0.0404,213153.0,18.0,309500.0,113734.0,2.48,29.7,0.9079999999999999,0.00067
123,Slovakia,5474881,-0.0058,-31879.0,114.0,48088.0,-31377.0,1.57,42.3,0.54,0.00067
124,Mauritania,5315065,0.0282,145670.0,5.0,1030700.0,-5044.0,4.56,17.4,0.603,0.00065
125,Ireland,5308039,0.0101,53022.0,77.0,68890.0,35417.0,1.6,39.0,0.621,0.00064
126,New Zealand,5251899,0.0073,37955.0,20.0,263310.0,17403.0,1.65,37.7,0.836,0.00064
127,Costa Rica,5152950,0.0045000000000000005,23040.0,101.0,51060.0,1000.0,1.31,35.2,0.852,0.00063
128,Kuwait,5026078,0.018600000000000002,91571.0,282.0,17820.0,42775.0,1.5,34.8,0.9159999999999999,0.00061
129,Panama,4571189,0.0123,55612.0,61.0,74340.0,6151.0,2.09,30.3,0.7070000000000001,0.0005600000000000001
130,Croatia,3848160,-0.006999999999999999,-27165.0,69.0,55960.0,-3481.0,1.47,45.3,0.617,0.00047
131,Georgia,3806671,-0.0003,-999.0,55.0,69490.0,1283.0,1.79,37.3,0.62,0.00046
132,Eritrea,3607003,0.0202,71400.0,36.0,101000.0,-6698.0,3.61,19.2,0.748,0.00043999999999999996
133,Mongolia,3517100,0.012,41560.0,2.0,1553560.0,79.0,2.58,26.9,0.672,0.00043
134,Uruguay,3384688,-0.0006,-1900.0,19.0,175020.0,-1338.0,1.39,36.4,,0.00041
135,Puerto Rico,3235289,-0.0021,-6915.0,365.0,8870.0,5495.0,0.94,45.8,,0.00039
136,Bosnia and Herzegovina,3140095,-0.0076,-24158.0,62.0,51000.0,-6994.0,1.5,45.7,0.563,0.00037999999999999997
137,Qatar,3115889,0.022099999999999998,67466.0,268.0,11610.0,36288.0,1.7,33.5,0.966,0.00037999999999999997
138,Namibia,3092816,0.0207,62685.0,4.0,823290.0,1866.0,3.17,21.3,0.544,0.00037999999999999997
139,Moldova,2996106,-0.0128,-38855.0,91.0,32850.0,-29766.0,1.72,38.6,0.5770000000000001,0.00035999999999999997
140,Armenia,2952365,-0.0072,-21475.0,104.0,28470.0,-29013.0,1.71,36.6,0.638,0.00035999999999999997
141,Jamaica,2837077,-0.0007000000000000001,-2098.0,262.0,10830.0,-11053.0,1.34,32.8,0.602,0.00034
142,Lithuania,2830144,-0.0101,-28966.0,45.0,62674.0,-24618.0,1.22,42.3,0.682,0.00034
143,Gambia,2822093,0.0225,62105.0,279.0,10120.0,-2984.0,3.8,18.6,0.613,0.00034
144,Albania,2771508,-0.0073,-20257.0,101.0,27400.0,-24230.0,1.33,37.3,0.703,0.00034
145,Gabon,2593130,0.0213,54178.0,10.0,257670.0,1116.0,3.54,21.5,0.8370000000000001,0.00032
146,Botswana,2562122,0.0163,40983.0,5.0,566730.0,-5665.0,2.66,23.4,0.7559999999999999,0.00031
147,Lesotho,2363325,0.0111,25902.0,78.0,30360.0,-5192.0,2.64,21.8,0.32799999999999996,0.00029
148,Guinea-Bissau,2249515,0.0219,48163.0,80.0,28120.0,-1373.0,3.68,19.4,0.462,0.00027
149,Slovenia,2117072,-0.0008,-1625.0,105.0,20140.0,2711.0,1.58,44.6,0.557,0.00026
150,Equatorial Guinea,1938431,0.024300000000000002,45915.0,69.0,28050.0,3812.0,4.04,20.9,0.636,0.00024
151,Latvia,1853559,-0.0098,-18312.0,30.0,62200.0,-7330.0,1.35,43.6,0.675,0.00023
152,North Macedonia,1813791,-0.0051,-9218.0,72.0,25220.0,-5645.0,1.47,41.0,0.6940000000000001,0.00021999999999999998
153,Bahrain,1643332,0.0226,36283.0,2162.0,760.0,18128.0,1.78,33.4,,0.0002
154,Trinidad and Tobago,1511155,0.0022,3373.0,295.0,5130.0,691.0,1.52,37.7,0.491,0.00017999999999999998
155,Timor-Leste,1418517,0.0128,17879.0,95.0,14870.0,-2550.0,2.56,21.7,0.36,0.00017
156,Cyprus,1370754,0.0092,12472.0,148.0,9240.0,7749.0,1.37,38.6,0.611,0.00017
157,Estonia,1344232,-0.012,-16314.0,32.0,42390.0,-13350.0,1.38,42.8,0.669,0.00016
158,Mauritius,1268280,-0.0023,-2889.0,625.0,2030.0,-2784.0,1.21,37.8,0.415,0.00015
159,Eswatini,1256174,0.010700000000000001,13352.0,73.0,17200.0,-5775.0,2.68,22.5,0.313,0.00015
160,Djibouti,1184076,0.0131,15354.0,51.0,23180.0,-581.0,2.58,24.9,0.713,0.00014000000000000001
161,Fiji,933154,0.004699999999999999,4370.0,51.0,18270.0,-3288.0,2.25,28.1,0.608,0.00010999999999999999
162,Comoros,882847,0.0187,16219.0,474.0,1861.0,-2127.0,3.76,20.6,0.336,0.00010999999999999999
163,Réunion,882405,0.0043,3814.0,353.0,2500.0,-2585.0,2.13,38.1,,0.00010999999999999999
164,Solomon Islands,838645,0.023700000000000002,19447.0,30.0,27990.0,1631.0,3.46,20.7,0.228,0.0001
165,Guyana,835986,0.0059,4899.0,4.0,196850.0,-5092.0,2.37,26.2,0.266,0.0001
166,Bhutan,796682,0.006500000000000001,5158.0,21.0,38117.0,455.0,1.44,30.5,0.503,9.7e-05
167,Macao,722007,0.0024,1745.0,24067.0,30.0,-328.0,0.69,39.6,0.971,8.800000000000001e-05
168,Luxembourg,680453,0.011000000000000001,7417.0,263.0,2590.0,5237.0,1.4,39.5,0.872,8.3e-05
